event,t0_ns,peak_time_ns,amplitude_adc,charge_adc_ns,observed_amplitude_adc,resolvable
32,492.9472,512.0000,100.9894,8265.9176,253.0782,1
33,200.0000,218.0000,122.4339,10012.5220,122.4339,1
33,245.5423,264.0000,73.3040,5997.0649,139.5516,1
33,383.0015,402.0000,137.6656,11267.3787,152.8143,1
34,200.0000,218.0000,144.1837,11791.1977,144.1837,1
34,263.3428,282.0000,92.9675,7606.9894,150.8117,1
34,633.0501,652.0000,86.2145,7056.0479,104.2658,0
34,650.7391,670.0000,89.9765,7365.6618,162.1697,1
34,766.3635,784.0000,129.6573,10616.2598,156.0198,1
34,809.5798,828.0000,73.8483,6041.4043,159.5101,1
35,200.0000,218.0000,105.4758,8625.7081,163.8928,0
35,212.9680,232.0000,96.0759,7863.6254,190.4154,1
35,250.0915,268.0000,116.9985,9570.9209,230.6660,1
35,280.5598,300.0000,88.5304,7248.2271,235.1153,1
35,348.1121,366.0000,88.4948,7239.7060,170.9596,1
35,430.8582,450.0000,97.4174,7974.0859,143.2474,1
36,200.0000,218.0000,129.6009,10598.6327,129.6009,1
36,234.7234,254.0000,81.9501,6708.6793,164.6357,1
36,480.1631,498.0000,76.8978,6292.0408,159.5868,1
36,481.2458,500.0000,79.9731,6544.2373,159.7278,1
36,529.5828,548.0000,89.8352,7349.2528,171.5294,1
37,200.0000,218.0000,87.9520,7192.6237,87.9520,1
37,262.2299,280.0000,141.2438,11559.6564,177.7235,1
37,292.5870,312.0000,93.9779,7694.0754,211.9506,1
38,200.0000,218.0000,88.0623,7201.6454,88.0623,1
38,399.4886,418.0000,90.2759,7385.8773,93.9385,1
38,459.2519,478.0000,102.4209,8381.1072,142.1368,1
38,589.2975,608.0000,130.2179,10655.3508,148.2736,1
38,768.4923,788.0000,97.1956,7958.0536,105.5623,1
39,200.0000,218.0000,110.8974,9069.0756,110.8974,1
39,246.5410,266.0000,94.1659,7709.7259,152.2151,1
39,290.1773,308.0000,88.2232,7219.0706,170.2308,1
40,200.0000,218.0000,88.7963,7261.6739,88.7963,1
40,484.3065,502.0000,54.3107,4446.0548,55.2214,1
40,669.5106,688.0000,102.5790,8392.2950,105.4886,1
41,200.0000,218.0000,129.6688,10604.1862,198.8426,0
41,209.9199,228.0000,86.2286,7052.1807,290.8429,1
41,218.4360,238.0000,95.5987,7827.6170,283.0763,1
42,200.0000,218.0000,96.2042,7867.4853,96.2042,1
42,251.1211,270.0000,61.8887,5064.8737,109.0120,1
42,311.6921,330.0000,121.4265,9932.7682,225.5974,1
42,316.4784,336.0000,62.7950,5141.4933,220.3986,1
43,200.0000,218.0000,107.3770,8781.1812,107.3770,1
43,240.5786,260.0000,107.6519,8813.6367,169.7249,1
43,267.0200,286.0000,84.2016,6891.4680,203.4145,1
44,200.0000,218.0000,96.3631,7880.4749,202.6869,1
44,204.7242,224.0000,110.5164,9047.1967,204.6219,1
44,260.8178,280.0000,102.4700,8387.9190,192.0303,1
44,465.7987,484.0000,123.2844,10083.8396,130.1831,1
45,200.0000,218.0000,60.1198,4916.5345,60.1198,1
45,276.7311,296.0000,81.2879,6654.4340,100.3896,1
45,315.9734,334.0000,137.8957,11277.2354,197.1931,1
45,336.0334,354.0000,87.3334,7142.8269,243.1549,1
45,360.3845,380.0000,78.0579,6391.6049,245.7194,0
46,200.0000,218.0000,57.3721,4691.8312,57.3721,1
46,241.6451,260.0000,81.6974,6683.1650,114.8633,1
46,455.8153,474.0000,36.4736,2983.2521,40.0860,1
46,477.8220,496.0000,88.5797,7245.0822,120.0794,1
46,555.0360,574.0000,100.6130,8234.5560,137.3561,1
47,200.0000,218.0000,90.9976,7441.6967,90.9976,1
47,228.7726,248.0000,119.8660,9812.2398,183.8590,1
47,338.1092,356.0000,93.0551,7612.7046,126.3245,1
47,357.9820,376.0000,77.6661,6351.5578,178.1107,1
48,200.0000,218.0000,86.4660,7071.1063,86.4660,1
48,292.0926,310.0000,114.2626,9347.1500,136.0185,1
48,507.4451,526.0000,109.2568,8939.1082,113.4973,1
48,538.5441,558.0000,88.6787,7260.4484,164.8673,1
49,200.0000,218.0000,105.7279,8646.3230,105.7279,1
49,242.9519,262.0000,83.3878,6825.2151,239.8458,0
49,254.4185,274.0000,79.0642,6473.8506,298.5791,1
49,259.4186,278.0000,97.5559,7981.9450,291.9196,1
49,360.3464,378.0000,100.6049,8236.9813,160.1279,1
49,525.4147,544.0000,121.0860,9907.1819,132.2496,1
50,200.0000,218.0000,60.3130,4932.3384,60.3130,1
50,261.0577,280.0000,126.8067,10378.1725,151.8226,1
50,297.9161,316.0000,97.2939,7957.1800,190.6689,1
50,337.6245,356.0000,116.9918,9570.5519,223.0806,1
51,200.0000,218.0000,82.6086,6755.6482,82.6086,1
51,271.1616,290.0000,71.7026,5867.8419,100.7092,1
51,301.8178,320.0000,104.7518,8567.8502,172.0781,1
51,365.2215,384.0000,100.3725,8213.6868,283.3997,1
51,370.6415,390.0000,122.3442,10016.0678,278.6446,1
51,483.1932,502.0000,41.2963,3379.4350,88.1374,1
52,200.0000,218.0000,101.0372,8262.7225,101.0372,1
52,248.4974,268.0000,60.7243,4971.8822,111.8861,1
52,315.3753,334.0000,71.8300,5877.2723,111.8621,1
52,375.8005,394.0000,92.0840,7531.8403,137.2828,1
53,200.0000,218.0000,98.9749,8094.0682,192.5784,1
53,205.6681,224.0000,99.1346,8109.4410,195.7908,1
53,261.3766,280.0000,80.9637,6624.6043,167.1864,1
53,392.4832,412.0000,94.4875,7736.3715,114.3906,1
53,519.3269,538.0000,110.3220,9027.1191,125.9184,1
54,200.0000,218.0000,96.4547,7887.9699,96.4547,1
54,280.4420,300.0000,71.9986,5895.2184,151.1187,0
54,296.1646,314.0000,100.4867,8222.2047,186.2845,1
54,350.7580,370.0000,122.6185,10037.6690,203.2207,1
54,928.8161,948.0000,103.2556,8452.2376,103.2701,1
55,200.0000,218.0000,103.5403,8467.4262,103.5403,1
55,238.1118,256.0000,126.8884,10380.6589,190.8177,1
55,268.1012,286.0000,100.1307,8191.3326,228.3998,1
56,200.0000,218.0000,116.1455,9498.2602,116.1455,1
56,224.4539,244.0000,95.7387,7838.9840,274.2213,1
56,226.6505,246.0000,91.5429,7494.3759,270.9434,1
56,292.8855,312.0000,88.3948,7235.3919,250.6721,1
56,308.3547,326.0000,132.8590,10878.0846,288.3841,1
56,432.1938,450.0000,91.4884,7486.6662,131.1990,1
57,200.0000,218.0000,88.5719,7243.3243,88.5719,1
57,275.2194,294.0000,101.9173,8340.1135,131.0127,1
57,390.0278,408.0000,68.5119,5603.3490,90.4001,1
57,445.5604,464.0000,89.9078,7355.3265,129.9310,1
58,200.0000,218.0000,87.5252,7157.7251,87.5252,1
58,238.0400,256.0000,71.2640,5828.6665,125.3050,1
58,275.6304,294.0000,85.5174,6995.7445,158.3010,1
59,200.0000,218.0000,31.0748,2541.2636,72.7198,0
59,215.0373,234.0000,101.2875,8289.7521,128.3390,1
59,247.3146,266.0000,78.6863,6438.5849,162.8361,1
59,327.8917,346.0000,129.4236,10585.1316,175.5782,1
59,437.6800,456.0000,84.7256,6930.6804,116.1828,1
59,490.3887,510.0000,106.5707,8726.2946,159.2794,1
60,200.0000,218.0000,114.4938,9363.1896,114.4938,1
60,221.5364,240.0000,71.4722,5847.2302,162.7688,1
60,323.1070,342.0000,63.6360,5207.9326,95.6361,1
61,200.0000,218.0000,85.3628,6980.8877,85.3628,1
61,239.6774,258.0000,84.5276,6914.4980,135.5286,1
61,293.8305,312.0000,100.3158,8204.9393,160.9141,1
61,364.0527,382.0000,91.2802,7466.1001,146.4638,1
61,544.4403,564.0000,77.5567,6350.3202,158.3786,1
61,548.0856,566.0000,73.6273,6022.8713,158.1687,1
62,200.0000,218.0000,85.1615,6964.4237,85.1615,1
62,366.7287,386.0000,100.6876,8242.5556,106.7252,1
62,400.6617,420.0000,83.8176,6861.8700,152.2565,1
62,429.4180,448.0000,109.2417,8938.0637,211.8628,1
62,501.8700,520.0000,90.0063,7361.4577,158.9977,1
63,200.0000,218.0000,85.2040,6967.8963,85.2040,1
63,229.8623,248.0000,101.8261,8328.2378,161.7447,1
63,294.0117,312.0000,100.2500,8198.6651,161.7365,1
63,361.1572,380.0000,97.1612,7951.3015,154.5938,1
63,397.7812,416.0000,118.3908,9683.7207,211.0323,1
64,200.0000,218.0000,105.3226,8613.1778,270.2957,1
64,202.8795,222.0000,87.4011,7154.0891,272.7480,1
64,204.0094,222.0000,81.0696,6629.9943,272.7480,1
64,274.1199,292.0000,114.2654,9348.2257,210.6105,1
65,200.0000,218.0000,67.3502,5507.8315,67.3502,1
65,222.8664,242.0000,127.5827,10443.1938,179.6612,1
65,253.6454,272.0000,108.5998,8883.8878,333.1978,1
65,258.6117,278.0000,108.4983,8882.7239,322.9879,1
65,306.1567,324.0000,90.3293,7390.8949,324.6489,1
65,318.9609,338.0000,120.6673,9876.4353,329.0908,1
66,200.0000,218.0000,95.4753,7807.8761,95.4753,1
66,314.8252,334.0000,103.5622,8477.2750,119.6652,1
66,418.3131,436.0000,103.8050,8498.0136,128.3753,1
66,461.4740,480.0000,81.4553,6664.3031,151.6462,1
67,200.0000,218.0000,69.5240,5685.6072,99.1711,0
67,215.1397,234.0000,74.1755,6070.3172,134.6980,1
67,278.4404,298.0000,103.4775,8472.7038,154.1687,1
67,326.5303,346.0000,90.7048,7426.4071,166.2938,1
67,527.1058,546.0000,100.8291,8251.7927,195.6215,1
67,536.5014,556.0000,102.3699,8381.6496,201.4934,1
68,200.0000,218.0000,93.2107,7622.6796,93.2107,1
68,295.0365,314.0000,109.0071,8921.5586,130.9475,1
68,363.0480,382.0000,110.3736,9033.3115,157.6896,1
69,200.0000,218.0000,112.8049,9225.0706,112.8049,1
69,220.2121,238.0000,101.5723,8312.3691,194.2719,1
69,311.4750,330.0000,106.2091,8689.5372,152.2022,1
69,448.6286,468.0000,99.7578,8167.0410,116.6709,1
70,200.0000,218.0000,111.5128,9119.4095,111.5128,1
70,304.4007,324.0000,98.2859,8047.8455,173.1969,1
70,319.0157,338.0000,87.2181,7138.3741,190.9008,1
70,348.0184,366.0000,69.7239,5702.2988,198.4551,1
70,466.6481,486.0000,75.6784,6195.6008,104.1669,1
71,200.0000,218.0000,62.3118,5095.7935,62.3118,1
71,264.3857,284.0000,125.4279,10270.3952,233.3520,1
71,268.9606,288.0000,85.0629,6962.2691,230.6199,1
71,306.8042,326.0000,84.4225,6910.6685,218.6982,1
71,349.4707,368.0000,127.5026,10431.7122,242.1265,1
71,447.9862,466.0000,87.0206,7116.5444,138.1791,1
72,200.0000,218.0000,102.8598,8411.7725,102.8598,1
72,335.8317,354.0000,59.5738,4872.6029,72.0046,1
72,372.9783,392.0000,112.0133,9167.9994,155.2863,1
72,525.7170,544.0000,137.2782,11229.2177,150.9117,1
72,605.2275,624.0000,81.2894,6652.0419,126.8603,1
73,200.0000,218.0000,108.4979,8872.8482,108.4979,1
73,329.9583,348.0000,70.7620,5787.0557,213.6764,1
73,333.8646,352.0000,131.7976,10779.5494,215.3936,1
73,379.5540,398.0000,100.2417,8200.7803,279.1473,0
73,392.1597,410.0000,98.0624,8023.7070,336.0327,1
73,404.6785,424.0000,85.1924,6974.3375,321.1580,0
74,200.0000,218.0000,123.4718,10097.3969,123.4718,1
74,255.3343,274.0000,75.2816,6159.8963,131.8709,1
74,335.3038,354.0000,84.7198,6932.3412,122.5126,1
74,418.0014,436.0000,107.5189,8792.8281,142.0368,1
74,564.7053,584.0000,106.2916,8701.4664,119.8597,1
75,200.0000,218.0000,97.7685,7995.4130,97.7685,1
75,233.5169,252.0000,81.1611,6640.0024,145.6069,1
75,369.6371,388.0000,87.1770,7131.4664,151.7229,1
75,371.9239,390.0000,48.4644,3963.6330,151.2780,1
76,200.0000,218.0000,112.7503,9220.6068,185.8547,1
76,202.0355,220.0000,73.6778,6025.9985,186.2555,1
76,239.7838,258.0000,80.9049,6617.5635,193.7887,1
76,260.1191,278.0000,93.7402,7669.0106,241.0285,1
76,529.5757,548.0000,94.7504,7751.4011,97.6155,1
76,568.0701,586.0000,76.6761,6271.9456,136.2723,1
77,200.0000,218.0000,103.6305,8474.8011,103.6305,1
77,312.3143,330.0000,68.3539,5595.8239,87.0373,1
77,449.5256,468.0000,95.6017,7821.3649,105.5108,1
77,513.0111,532.0000,100.4089,8218.0085,141.8573,1
77,577.9773,596.0000,101.9884,8340.6750,155.8702,1
77,600.0834,618.0000,85.3929,6985.2734,204.0327,1
78,200.0000,218.0000,104.3744,8535.6320,170.9279,1
78,207.3689,226.0000,73.8507,6042.6463,173.9791,1
78,229.4034,248.0000,124.9666,10224.7840,256.6673,1
78,317.6273,336.0000,104.0228,8509.6006,221.0915,0
78,332.2179,350.0000,106.9828,8755.3191,250.1426,1
79,200.0000,218.0000,82.9735,6785.4885,82.9735,1
79,322.4978,342.0000,97.9199,8017.3241,110.1674,1
79,342.5562,362.0000,121.9239,9982.2670,222.7380,1
79,361.1017,380.0000,92.7583,7591.3070,346.3994,1
79,367.0954,386.0000,91.1465,7459.4344,332.5594,1
80,200.0000,218.0000,111.7997,9142.8683,210.2377,1
80,209.4822,228.0000,119.6815,9791.7306,224.7024,1
80,262.3896,282.0000,136.3216,11162.3685,237.3735,1
80,294.9198,314.0000,94.8793,7765.9732,244.6641,1
80,323.1097,342.0000,90.8546,7435.4667,252.6895,1
81,200.0000,218.0000,109.4764,8952.8725,109.4764,1
81,322.5993,342.0000,114.5792,9380.6466,130.7388,1
81,377.4832,396.0000,78.4340,6417.0642,138.0574,1
81,409.0819,428.0000,79.3766,6496.2577,167.3069,1
81,439.2510,458.0000,94.1835,7707.0466,202.6327,1
81,497.8474,516.0000,94.7867,7752.5874,177.3634,1
82,200.0000,218.0000,63.9755,5231.8524,128.7113,1
82,204.0061,222.0000,66.5531,5442.7554,129.8937,1
82,250.3644,268.0000,84.0347,6880.7285,242.3265,1
82,252.3017,270.0000,90.7173,7426.2939,240.9253,1
82,341.8654,360.0000,96.8397,7920.3814,156.6317,1
82,422.4400,442.0000,98.8043,8090.0654,142.7643,1
83,200.0000,218.0000,105.7440,8647.6369,166.6180,0
83,212.4482,232.0000,93.8281,7682.5745,188.4075,1
83,236.5260,256.0000,85.8298,7027.2906,221.9735,1
84,200.0000,218.0000,78.1478,6390.8480,78.1478,1
84,264.0751,282.0000,105.4170,8623.0421,136.7687,1
84,297.5039,316.0000,78.1253,6391.7054,274.0637,1
84,298.1555,316.0000,108.5669,8883.0835,274.0637,1
85,200.0000,218.0000,61.1501,5000.7956,182.1906,1
85,202.2669,220.0000,122.1423,9997.6199,183.1988,1
85,254.7176,274.0000,75.7949,6204.8280,161.9762,1
85,283.8047,302.0000,95.6513,7823.5967,203.6385,1
85,425.9661,444.0000,75.9669,6212.6824,96.5491,1
85,558.7098,578.0000,92.5970,7580.3486,104.2889,1
86,200.0000,218.0000,66.9954,5478.8193,66.9954,1
86,243.9396,262.0000,94.8208,7754.7575,132.2911,1
86,287.0181,306.0000,90.0047,7366.4326,282.2389,1
86,290.7798,310.0000,122.9142,10061.7128,277.8948,1
86,544.3928,564.0000,116.5245,9541.3102,120.9257,1
87,200.0000,218.0000,121.7955,9960.3158,121.7955,1
87,256.9076,276.0000,79.2185,6484.1765,133.2130,1
87,373.8287,392.0000,132.4908,10836.5820,231.3864,1
87,378.2553,396.0000,80.4078,6581.2949,231.0107,1
88,200.0000,218.0000,130.2757,10653.8151,130.2757,1
88,276.0830,294.0000,100.9915,8261.2495,145.5909,0
88,293.8603,312.0000,76.5107,6257.7319,193.7879,1
89,200.0000,218.0000,113.9018,9314.7758,113.9018,1
89,229.0392,248.0000,87.7935,7185.3389,241.9728,1
89,231.6711,250.0000,74.5199,6095.8860,239.4256,1
90,200.0000,218.0000,76.0275,6217.4521,76.0275,1
90,310.6583,330.0000,88.8722,7275.6950,102.5791,1
90,332.5776,352.0000,86.3208,7067.2325,165.2558,1
90,394.7001,414.0000,71.9301,5888.5177,135.2755,1
90,467.3589,486.0000,72.4869,5931.1007,116.2865,1
91,200.0000,218.0000,132.8954,10868.0522,132.8954,1
91,316.6754,336.0000,49.9006,4085.1566,71.5801,1
91,393.1443,412.0000,71.9668,5889.5478,141.1353,1
91,400.6990,420.0000,51.0859,4182.1222,138.8903,1
92,200.0000,218.0000,121.1122,9904.4332,121.1122,1
92,263.4847,282.0000,116.2127,9507.9166,164.8010,1
92,339.5823,358.0000,99.5493,8143.9462,151.0765,1
92,384.4944,404.0000,101.9850,8350.1779,179.3979,1
92,447.4746,466.0000,90.1089,7372.2956,158.9426,1
93,200.0000,218.0000,83.0863,6794.7120,83.0863,1
93,307.0321,326.0000,81.3402,6657.2116,174.1054,1
93,313.8744,332.0000,81.6544,6678.3495,174.9113,1
93,507.5186,526.0000,110.6269,9050.6632,118.2711,1
93,566.4447,586.0000,119.7128,9802.0213,169.5669,1
93,728.4975,748.0000,107.6981,8817.9295,120.1939,1
94,200.0000,218.0000,78.4281,6413.7715,78.4281,1
94,272.2378,290.0000,95.1136,7784.4835,122.6523,1
94,328.3993,348.0000,105.3913,8629.6543,158.2151,1
95,200.0000,218.0000,54.0335,4418.8067,54.0335,1
95,306.7874,326.0000,119.5721,9788.0709,195.9713,1
95,319.3107,338.0000,90.9603,7442.9376,207.5348,1
95,414.4921,434.0000,110.6162,9056.8931,156.0782,1
95,475.6073,494.0000,59.6759,4881.8742,122.6783,1
95,561.2690,580.0000,95.3222,7800.1132,126.8314,1
96,200.0000,218.0000,114.2145,9340.3448,114.2145,1
96,358.4266,378.0000,81.5542,6677.6938,90.8065,1
96,405.4232,424.0000,88.7321,7259.9570,158.9333,1
96,422.7853,442.0000,120.3511,9851.8554,264.7933,1
96,439.4480,458.0000,95.9348,7849.1199,283.7170,1
97,200.0000,218.0000,112.4273,9194.1943,112.4273,1
97,266.1025,284.0000,68.2542,5583.6546,202.8588,1
97,267.7725,286.0000,91.5661,7489.6629,201.9409,1
97,297.2368,316.0000,95.6080,7823.6990,267.5925,1
97,313.0085,332.0000,86.1267,7049.0878,273.1887,1
98,200.0000,218.0000,104.9912,8586.0780,104.9912,1
98,358.2448,376.0000,74.2753,6079.1425,83.0688,1
98,417.3110,436.0000,100.1033,8191.0777,238.1741,1
98,422.5052,442.0000,106.4763,8717.8444,235.5174,1
99,200.0000,218.0000,80.6879,6598.5734,80.6879,1
99,271.8707,290.0000,114.6409,9376.2739,142.9731,1
99,301.6690,320.0000,117.0891,9578.1513,214.7148,1
99,445.2603,464.0000,107.8503,8825.3397,129.0587,1
100,200.0000,218.0000,97.0675,7938.0834,97.0675,1
